Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1490     0.00     0.00  QBasicAtomicInteger<int>::load() const
  0.00      0.00     0.00     1002     0.00     0.00  qt_noop()
  0.00      0.00     0.00      963     0.00     0.00  QtPrivate::RefCount::deref()
  0.00      0.00     0.00      922     0.00     0.00  QString::~QString()
  0.00      0.00     0.00      872     0.00     0.00  bool QBasicAtomicOps<4>::deref<int>(int&)
  0.00      0.00     0.00      872     0.00     0.00  QBasicAtomicInteger<int>::deref()
  0.00      0.00     0.00      501     0.00     0.00  QtPrivate::RefCount::ref()
  0.00      0.00     0.00      500     0.00     0.00  bool QBasicAtomicOps<4>::ref<int>(int&)
  0.00      0.00     0.00      500     0.00     0.00  QBasicAtomicInteger<int>::ref()
  0.00      0.00     0.00      498     0.00     0.00  QString::QString(QString const&)
  0.00      0.00     0.00      487     0.00     0.00  QScopedPointer<QObjectData, QScopedPointerDeleter<QObjectData> >::operator->() const
  0.00      0.00     0.00      297     0.00     0.00  QListData::size() const
  0.00      0.00     0.00      175     0.00     0.00  QString::fromUtf8(char const*, int)
  0.00      0.00     0.00      160     0.00     0.00  QListData::at(int) const
  0.00      0.00     0.00      154     0.00     0.00  ACore::ASett::~ASett()
  0.00      0.00     0.00      150     0.00     0.00  QList<ACore::ASett>::Node::t()
  0.00      0.00     0.00      148     0.00     0.00  ACore::ASett::ASett(ACore::ASett const&)
  0.00      0.00     0.00      142     0.00     0.00  QList<ACore::ASett>::value(int) const
  0.00      0.00     0.00      126     0.00     0.00  QList<ACore::ASett>::size() const
  0.00      0.00     0.00      110     0.00     0.00  QArrayData::sharedNull()
  0.00      0.00     0.00      110     0.00     0.00  QTypedArrayData<unsigned short>::sharedNull()
  0.00      0.00     0.00      110     0.00     0.00  QString::QString()
  0.00      0.00     0.00      107     0.00     0.00  QRect::QRect(int, int, int, int)
  0.00      0.00     0.00       91     0.00     0.00  QTypedArrayData<unsigned short>::deallocate(QArrayData*)
  0.00      0.00     0.00       73     0.00     0.00  QFlags<Qt::WindowType>::QFlags(int QFlags<Qt::WindowType>::Private::*)
  0.00      0.00     0.00       37     0.00     0.00  QString::QString(char const*)
  0.00      0.00     0.00       30     0.00     0.00  QString::operator+=(QString const&)
  0.00      0.00     0.00       30     0.00     0.00  QListData::begin() const
  0.00      0.00     0.00       26     0.00     0.00  QtPrivate::RefCount::isShared() const
  0.00      0.00     0.00       17     0.00     0.00  operator+(QString const&, char const*)
  0.00      0.00     0.00       13     0.00     0.00  QByteArray::~QByteArray()
  0.00      0.00     0.00        9     0.00     0.00  QArrayData::data()
  0.00      0.00     0.00        9     0.00     0.00  QList<QString>::node_construct(QList<QString>::Node*, QString const&)
  0.00      0.00     0.00        9     0.00     0.00  QList<QString>::append(QString const&)
  0.00      0.00     0.00        9     0.00     0.00  operator new(unsigned int, void*)
  0.00      0.00     0.00        8     0.00     0.00  ACore::ASett::operator=(ACore::ASett const&)
  0.00      0.00     0.00        8     0.00     0.00  ACore::ASettings::GetKey(QString)
  0.00      0.00     0.00        8     0.00     0.00  ACore::ASettings::SetKey(QString, QString)
  0.00      0.00     0.00        8     0.00     0.00  QList<QString>::Node::t()
  0.00      0.00     0.00        8     0.00     0.00  QList<QString>::node_copy(QList<QString>::Node*, QList<QString>::Node*, QList<QString>::Node*)
  0.00      0.00     0.00        8     0.00     0.00  QList<ACore::ASett>::detach()
  0.00      0.00     0.00        8     0.00     0.00  QList<ACore::ASett>::replace(int, ACore::ASett const&)
  0.00      0.00     0.00        8     0.00     0.00  QSize::QSize(int, int)
  0.00      0.00     0.00        8     0.00     0.00  UniKey::~UniKey()
  0.00      0.00     0.00        8     0.00     0.00  QList<QString>::size() const
  0.00      0.00     0.00        8     0.00     0.00  QList<QString>::value(int) const
  0.00      0.00     0.00        7     0.00     0.00  QTypedArrayData<char>::deallocate(QArrayData*)
  0.00      0.00     0.00        7     0.00     0.00  QListSpecialMethods<QString>::QListSpecialMethods()
  0.00      0.00     0.00        7     0.00     0.00  QList<QString>::~QList()
  0.00      0.00     0.00        7     0.00     0.00  QString::isEmpty() const
  0.00      0.00     0.00        6     0.00     0.00  QStringList::~QStringList()
  0.00      0.00     0.00        6     0.00     0.00  ACore::ASett::ASett()
  0.00      0.00     0.00        6     0.00     0.00  ACore::ASettings::AddKey(QString, QString)
  0.00      0.00     0.00        6     0.00     0.00  QList<ACore::ASett>::node_construct(QList<ACore::ASett>::Node*, ACore::ASett const&)
  0.00      0.00     0.00        6     0.00     0.00  QList<ACore::ASett>::append(ACore::ASett const&)
  0.00      0.00     0.00        6     0.00     0.00  QList<ACore::ASett>::operator<<(ACore::ASett const&)
  0.00      0.00     0.00        6     0.00     0.00  QDebug::maybeQuote(char)
  0.00      0.00     0.00        6     0.00     0.00  QWidget::resize(int, int)
  0.00      0.00     0.00        6     0.00     0.00  QDebug::Stream::testFlag(QDebug::Stream::FormatFlag) const
  0.00      0.00     0.00        6     0.00     0.00  QListData::end() const
  0.00      0.00     0.00        5     0.00     0.00  QTypedArrayData<char>::data()
  0.00      0.00     0.00        5     0.00     0.00  ACore::ALog::operator<<(QString)
  0.00      0.00     0.00        5     0.00     0.00  ACore::dtime()
  0.00      0.00     0.00        5     0.00     0.00  QList<QString>::QList()
  0.00      0.00     0.00        5     0.00     0.00  QList<QString>::~QList()
  0.00      0.00     0.00        5     0.00     0.00  QFlags<Qt::AlignmentFlag>::QFlags(int QFlags<Qt::AlignmentFlag>::Private::*)
  0.00      0.00     0.00        5     0.00     0.00  operator+(char const*, QString const&)
  0.00      0.00     0.00        5     0.00     0.00  operator+(QString const&, QString const&)
  0.00      0.00     0.00        4     0.00     0.00  QStringList::QStringList()
  0.00      0.00     0.00        4     0.00     0.00  QStringList::operator<<(QString const&)
  0.00      0.00     0.00        4     0.00     0.00  QTypedArrayData<unsigned short>::data()
  0.00      0.00     0.00        4     0.00     0.00  QList<QString>::detach_helper_grow(int, int)
  0.00      0.00     0.00        4     0.00     0.00  QTime::QTime()
  0.00      0.00     0.00        4     0.00     0.00  UniKey::UniKey(UniKey const&)
  0.00      0.00     0.00        4     0.00     0.00  UniKey::UniKey()
  0.00      0.00     0.00        4     0.00     0.00  QIODevice::write(QByteArray const&)
  0.00      0.00     0.00        4     0.00     0.00  QByteArray::size() const
  0.00      0.00     0.00        4     0.00     0.00  QByteArray::constData() const
  0.00      0.00     0.00        4     0.00     0.00  QString::size() const
  0.00      0.00     0.00        4     0.00     0.00  QString::constData() const
  0.00      0.00     0.00        4     0.00     0.00  QString::operator==(char const*) const
  0.00      0.00     0.00        3     0.00     0.00  void qSwap<QListData::Data*>(QListData::Data*&, QListData::Data*&)
  0.00      0.00     0.00        3     0.00     0.00  QMessageLogger::QMessageLogger(char const*, int, char const*)
  0.00      0.00     0.00        3     0.00     0.00  QMessageLogContext::QMessageLogContext(char const*, int, char const*, char const*)
  0.00      0.00     0.00        3     0.00     0.00  QList<QString>::swap(QList<QString>&)
  0.00      0.00     0.00        3     0.00     0.00  QList<QString>::QList(QList<QString> const&)
  0.00      0.00     0.00        3     0.00     0.00  QList<QString>::operator=(QList<QString> const&)
  0.00      0.00     0.00        3     0.00     0.00  QDebug::maybeSpace()
  0.00      0.00     0.00        3     0.00     0.00  QDebug::operator<<(QString const&)
  0.00      0.00     0.00        3     0.00     0.00  QList<UniKey>::size() const
  0.00      0.00     0.00        3     0.00     0.00  void std::swap<QListData::Data*>(QListData::Data*&, QListData::Data*&)
  0.00      0.00     0.00        2     0.00     0.00  QTextCodec::codecForName(char const*)
  0.00      0.00     0.00        2     0.00     0.00  QStringList::operator=(QStringList const&)
  0.00      0.00     0.00        2     0.00     0.00  QListSpecialMethods<AQuest>::QListSpecialMethods()
  0.00      0.00     0.00        2     0.00     0.00  QList<AQuest>::QList()
  0.00      0.00     0.00        2     0.00     0.00  QList<AQuest>::~QList()
  0.00      0.00     0.00        2     0.00     0.00  QList<UniKey>::node_construct(QList<UniKey>::Node*, UniKey const&)
  0.00      0.00     0.00        2     0.00     0.00  QList<UniKey>::Node::t()
  0.00      0.00     0.00        2     0.00     0.00  QList<UniKey>::append(UniKey const&)
  0.00      0.00     0.00        2     0.00     0.00  QList<UniKey>::node_copy(QList<UniKey>::Node*, QList<UniKey>::Node*, QList<UniKey>::Node*)
  0.00      0.00     0.00        2     0.00     0.00  QList<UniKey>::operator<<(UniKey const&)
  0.00      0.00     0.00        2     0.00     0.00  QList<QString>::node_destruct(QList<QString>::Node*, QList<QString>::Node*)
  0.00      0.00     0.00        2     0.00     0.00  QList<QString>::dealloc(QListData::Data*)
  0.00      0.00     0.00        2     0.00     0.00  QList<QString>::QList()
  0.00      0.00     0.00        2     0.00     0.00  QList<ACore::ASett>::node_copy(QList<ACore::ASett>::Node*, QList<ACore::ASett>::Node*, QList<ACore::ASett>::Node*)
  0.00      0.00     0.00        2     0.00     0.00  Client::Client()
  0.00      0.00     0.00        2     0.00     0.00  Client::~Client()
  0.00      0.00     0.00        2     0.00     0.00  QFlags<Qt::WindowType>::QFlags(Qt::WindowType)
  0.00      0.00     0.00        2     0.00     0.00  UniKey::operator=(UniKey const&)
  0.00      0.00     0.00        2     0.00     0.00  QVariant::Private::Private()
  0.00      0.00     0.00        2     0.00     0.00  QVariant::QVariant()
  0.00      0.00     0.00        2     0.00     0.00  QList<UniKey>::value(int) const
  0.00      0.00     0.00        2     0.00     0.00  QSize::width() const
  0.00      0.00     0.00        2     0.00     0.00  QSize::height() const
  0.00      0.00     0.00        2     0.00     0.00  QObject::connect(QObject const*, char const*, char const*, Qt::ConnectionType) const
  0.00      0.00     0.00        1     0.00     0.00  qMain(int, char**)
  0.00      0.00     0.00        1     0.00     0.00  MainWindow::OnStart()
  0.00      0.00     0.00        1     0.00     0.00  MainWindow::OnRequest()
  0.00      0.00     0.00        1     0.00     0.00  MainWindow::MainWindow(QWidget*)
  0.00      0.00     0.00        1     0.00     0.00  MainWindow::~MainWindow()
  0.00      0.00     0.00        1     0.00     0.00  MainWindow::~MainWindow()
  0.00      0.00     0.00        1     0.00     0.00  QByteArray::data()
  0.00      0.00     0.00        1     0.00     0.00  QByteArray::detach()
  0.00      0.00     0.00        1     0.00     0.00  Ui_Kabinet::retranslateUi(QDialog*)
  0.00      0.00     0.00        1     0.00     0.00  Ui_Kabinet::setupUi(QDialog*)
  0.00      0.00     0.00        1     0.00     0.00  Ui_Loading::retranslateUi(QWidget*)
  0.00      0.00     0.00        1     0.00     0.00  Ui_Loading::setupUi(QWidget*)
  0.00      0.00     0.00        1     0.00     0.00  Ui_registr::retranslateUi(QDialog*)
  0.00      0.00     0.00        1     0.00     0.00  Ui_registr::setupUi(QDialog*)
  0.00      0.00     0.00        1     0.00     0.00  ATcpNetwork::ATcpNetwork()
  0.00      0.00     0.00        1     0.00     0.00  ATcpNetwork::~ATcpNetwork()
  0.00      0.00     0.00        1     0.00     0.00  QStringList::QStringList()
  0.00      0.00     0.00        1     0.00     0.00  QStringList::~QStringList()
  0.00      0.00     0.00        1     0.00     0.00  QLatin1String::QLatin1String(char const*)
  0.00      0.00     0.00        1     0.00     0.00  Ui_MainWindow::retranslateUi(QMainWindow*)
  0.00      0.00     0.00        1     0.00     0.00  Ui_MainWindow::setupUi(QMainWindow*)
  0.00      0.00     0.00        1     0.00     0.00  QListSpecialMethods<PrivateMessage>::QListSpecialMethods()
  0.00      0.00     0.00        1     0.00     0.00  QListSpecialMethods<QList<PrivateMessage> >::QListSpecialMethods()
  0.00      0.00     0.00        1     0.00     0.00  QListSpecialMethods<AChate>::QListSpecialMethods()
  0.00      0.00     0.00        1     0.00     0.00  QListSpecialMethods<Client>::QListSpecialMethods()
  0.00      0.00     0.00        1     0.00     0.00  QListSpecialMethods<UniKey>::QListSpecialMethods()
  0.00      0.00     0.00        1     0.00     0.00  QListSpecialMethods<AServer>::QListSpecialMethods()
  0.00      0.00     0.00        1     0.00     0.00  QListSpecialMethods<UniClient>::QListSpecialMethods()
  0.00      0.00     0.00        1     0.00     0.00  QListSpecialMethods<ACore::ASett>::QListSpecialMethods()
  0.00      0.00     0.00        1     0.00     0.00  Form::Form(QWidget*)
  0.00      0.00     0.00        1     0.00     0.00  Form::~Form()
  0.00      0.00     0.00        1     0.00     0.00  Form::~Form()
  0.00      0.00     0.00        1     0.00     0.00  AChat::LoadSettings()
  0.00      0.00     0.00        1     0.00     0.00  AChat::CheckBoxUpdate()
  0.00      0.00     0.00        1     0.00     0.00  AChat::GetServersList()
  0.00      0.00     0.00        1     0.00     0.00  AChat::functionA()
  0.00      0.00     0.00        1     0.00     0.00  AChat::AChat()
  0.00      0.00     0.00        1     0.00     0.00  AChat::~AChat()
  0.00      0.00     0.00        1     0.00     0.00  AChat::~AChat()
  0.00      0.00     0.00        1     0.00     0.00  ACore::ALog::SaveLog()
  0.00      0.00     0.00        1     0.00     0.00  ACore::ALog::SetFile(QString)
  0.00      0.00     0.00        1     0.00     0.00  ACore::ALog::ALog()
  0.00      0.00     0.00        1     0.00     0.00  ACore::ALog::~ALog()
  0.00      0.00     0.00        1     0.00     0.00  ACore::timeEx(QTime)
  0.00      0.00     0.00        1     0.00     0.00  ACore::ASettings::LoadSettings()
  0.00      0.00     0.00        1     0.00     0.00  ACore::ASettings::SaveSettings()
  0.00      0.00     0.00        1     0.00     0.00  ACore::ASettings::ASettings(QString)
  0.00      0.00     0.00        1     0.00     0.00  ACore::ASettings::~ASettings()
  0.00      0.00     0.00        1     0.00     0.00  QFlag::QFlag(unsigned int)
  0.00      0.00     0.00        1     0.00     0.00  QList<PrivateMessage>::QList()
  0.00      0.00     0.00        1     0.00     0.00  QList<PrivateMessage>::~QList()
  0.00      0.00     0.00        1     0.00     0.00  QList<AChate>::QList()
  0.00      0.00     0.00        1     0.00     0.00  QList<AChate>::~QList()
  0.00      0.00     0.00        1     0.00     0.00  QList<Client>::QList()
  0.00      0.00     0.00        1     0.00     0.00  QList<Client>::~QList()
  0.00      0.00     0.00        1     0.00     0.00  QList<UniKey>::node_destruct(QList<UniKey>::Node*, QList<UniKey>::Node*)
  0.00      0.00     0.00        1     0.00     0.00  QList<UniKey>::detach_helper_grow(int, int)
  0.00      0.00     0.00        1     0.00     0.00  QList<UniKey>::dealloc(QListData::Data*)
  0.00      0.00     0.00        1     0.00     0.00  QList<UniKey>::QList()
  0.00      0.00     0.00        1     0.00     0.00  QList<UniKey>::~QList()
  0.00      0.00     0.00        1     0.00     0.00  QList<AServer>::QList()
  0.00      0.00     0.00        1     0.00     0.00  QList<AServer>::~QList()
  0.00      0.00     0.00        1     0.00     0.00  QList<QString>::clear()
  0.00      0.00     0.00        1     0.00     0.00  QList<UniClient>::QList()
  0.00      0.00     0.00        1     0.00     0.00  QList<UniClient>::~QList()
  0.00      0.00     0.00        1     0.00     0.00  QList<ACore::ASett>::node_destruct(QList<ACore::ASett>::Node*, QList<ACore::ASett>::Node*)
  0.00      0.00     0.00        1     0.00     0.00  QList<ACore::ASett>::detach_helper_grow(int, int)
  0.00      0.00     0.00        1     0.00     0.00  QList<ACore::ASett>::dealloc(QListData::Data*)
  0.00      0.00     0.00        1     0.00     0.00  QList<ACore::ASett>::QList()
